section,date,C2FO,SAP Taulia
interest_over_time,2025-04-27,57,0
interest_over_time,2025-05-04,71,0
interest_over_time,2025-05-11,84,0
interest_over_time,2025-05-18,70,18
interest_over_time,2025-05-25,66,0
interest_over_time,2025-06-01,46,0
interest_over_time,2025-06-08,82,0
interest_over_time,2025-06-15,81,0
interest_over_time,2025-06-22,58,0
interest_over_time,2025-06-29,54,0
interest_over_time,2025-07-06,76,0
interest_over_time,2025-07-13,83,0
interest_over_time,2025-07-20,56,0
interest_over_time,2025-07-27,61,13
interest_over_time,2025-08-03,83,19
interest_over_time,2025-08-10,78,29
interest_over_time,2025-08-17,94,21
interest_over_time,2025-08-24,91,0
interest_over_time,2025-08-31,78,13
interest_over_time,2025-09-07,93,12
interest_over_time,2025-09-14,80,0
interest_over_time,2025-09-21,89,30
interest_over_time,2025-09-28,87,15
interest_over_time,2025-10-05,71,12
interest_over_time,2025-10-12,63,0
interest_over_time,2025-10-19,66,13
interest_over_time,2025-10-26,99,16
interest_over_time,2025-11-02,86,17
interest_over_time,2025-11-09,84,28
interest_over_time,2025-11-16,72,0
interest_over_time,2025-11-23,78,16
interest_over_time,2025-11-30,86,16
interest_over_time,2025-12-07,67,22
interest_over_time,2025-12-14,74,24
interest_over_time,2025-12-21,58,0
interest_over_time,2025-12-28,63,0
interest_over_time,2026-01-04,70,0
interest_over_time,2026-01-11,79,18
interest_over_time,2026-01-18,96,17
interest_over_time,2026-01-25,56,17
interest_over_time,2026-02-01,67,17
interest_over_time,2026-02-08,63,18
interest_over_time,2026-02-15,90,21
interest_over_time,2026-02-22,70,22
interest_over_time,2026-03-01,80,25
interest_over_time,2026-03-08,91,21
interest_over_time,2026-03-15,100,17
interest_over_time,2026-03-22,80,23
interest_over_time,2026-03-29,70,18
interest_over_time,2026-04-05,81,25
interest_over_time,2026-04-12,62,12
interest_over_time,2026-04-19,59,14
interest_over_time,2026-04-26,45,8
interest_by_region,aggregated,74,26
interest_by_region,aggregated,100,0
interest_by_region,aggregated,0,100
interest_by_region,aggregated,85,15
interest_by_region,aggregated,100,0
interest_by_region,aggregated,74,26
interest_by_region,aggregated,38,62
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,97,3
interest_by_region,aggregated,100,0
interest_by_region,aggregated,60,40
interest_by_region,aggregated,100,0
interest_by_region,aggregated,0,100
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,97,3
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,100,0
interest_by_region,aggregated,80,20
interest_by_region,aggregated,81,19
